parameter,violation_total,violation_type_a,violation_type_b,avg_utility
0,644,24,611,684606.1756666657
2,644,24,611,674644.5913333343
4,832,96,722,660341.2886666667
6,830,50,762,648041.9786666671
8,784,39,729,630821.9696666668
10,851,59,774,611318.6253333334
