parameter,violation_total,violation_type_a,violation_type_b,avg_utility
0,123,25,96,612373.2725
1,146,17,123,613619.41
2,148,13,131,623997.2
3,154,21,128,621187.69
4,130,2,124,627707.8925
5,59,0,59,624085.79
6,3,0,3,627765.065
8,2,0,2,626342.7775
10,0,0,0,625500.6575
