id,machine_bias,time_groups,ranking,flat_rank
30,A>B|B>A|A=B,"[[1], [2, 3]]","[[('A', 1), ('B', 1)], [('B', 2), ('A', 2), ('A', 3), ('B', 3)]]","A1,B1,B2,A2,A3,B3"
31,A>B|B>A|A=B,"[[1, 2], [3]]","[[('A', 1), ('B', 1), ('B', 2), ('A', 2)], [('A', 3), ('B', 3)]]","A1,B1,B2,A2,A3,B3"
32,A>B|B>A|A=B,"[[1, 2, 3]]","[[('A', 1), ('B', 1), ('B', 2), ('A', 2), ('A', 3), ('B', 3)]]","A1,B1,B2,A2,A3,B3"
33,A>B|B>A|B>A,"[[1], [2], [3]]","[[('A', 1), ('B', 1)], [('B', 2), ('A', 2)], [('B', 3), ('A', 3)]]","A1,B1,B2,A2,B3,A3"
34,A>B|B>A|B>A,"[[1], [2, 3]]","[[('A', 1), ('B', 1)], [('B', 2), ('A', 2), ('B', 3), ('A', 3)]]","A1,B1,B2,A2,B3,A3"
35,A>B|B>A|B>A,"[[1, 2], [3]]","[[('A', 1), ('B', 1), ('B', 2), ('A', 2)], [('B', 3), ('A', 3)]]","A1,B1,B2,A2,B3,A3"
36,A>B|B>A|B>A,"[[1, 2, 3]]","[[('A', 1), ('B', 1), ('B', 2), ('A', 2), ('B', 3), ('A', 3)]]","A1,B1,B2,A2,B3,A3"
37,A=B|A>B|A>B,"[[1], [2], [3]]","[[('A', 1), ('B', 1)], [('A', 2), ('B', 2)], [('A', 3), ('B', 3)]]","A1,B1,A2,B2,A3,B3"
38,A=B|A>B|A>B,"[[1], [2, 3]]","[[('A', 1), ('B', 1)], [('A', 2), ('B', 2), ('A', 3), ('B', 3)]]","A1,B1,A2,B2,A3,B3"
39,A=B|A>B|A>B,"[[1, 2], [3]]","[[('A', 1), ('B', 1), ('A', 2), ('B', 2)], [('A', 3), ('B', 3)]]","A1,B1,A2,B2,A3,B3"
40,A=B|A>B|A>B,"[[1, 2, 3]]","[[('A', 1), ('B', 1), ('A', 2), ('B', 2), ('A', 3), ('B', 3)]]","A1,B1,A2,B2,A3,B3"
41,A=B|A>B|A=B,"[[1], [2], [3]]","[[('A', 1), ('B', 1)], [('A', 2), ('B', 2)], [('A', 3), ('B', 3)]]","A1,B1,A2,B2,A3,B3"
42,A=B|A>B|A=B,"[[1], [2, 3]]","[[('A', 1), ('B', 1)], [('A', 2), ('B', 2), ('A', 3), ('B', 3)]]","A1,B1,A2,B2,A3,B3"
43,A=B|A>B|A=B,"[[1, 2], [3]]","[[('A', 1), ('B', 1), ('A', 2), ('B', 2)], [('A', 3), ('B', 3)]]","A1,B1,A2,B2,A3,B3"
44,A=B|A>B|A=B,"[[1, 2, 3]]","[[('A', 1), ('B', 1), ('A', 2), ('B', 2), ('A', 3), ('B', 3)]]","A1,B1,A2,B2,A3,B3"
45,A=B|A>B|B>A,"[[1], [2], [3]]","[[('A', 1), ('B', 1)], [('A', 2), ('B', 2)], [('B', 3), ('A', 3)]]","A1,B1,A2,B2,B3,A3"
46,A=B|A>B|B>A,"[[1], [2, 3]]","[[('A', 1), ('B', 1)], [('A', 2), ('B', 2), ('B', 3), ('A', 3)]]","A1,B1,A2,B2,B3,A3"
47,A=B|A>B|B>A,"[[1, 2], [3]]","[[('A', 1), ('B', 1), ('A', 2), ('B', 2)], [('B', 3), ('A', 3)]]","A1,B1,A2,B2,B3,A3"
48,A=B|A>B|B>A,"[[1, 2, 3]]","[[('A', 1), ('B', 1), ('A', 2), ('B', 2), ('B', 3), ('A', 3)]]","A1,B1,A2,B2,B3,A3"
49,A=B|A=B|A>B,"[[1], [2], [3]]","[[('A', 1), ('B', 1)], [('A', 2), ('B', 2)], [('A', 3), ('B', 3)]]","A1,B1,A2,B2,A3,B3"
50,A=B|A=B|A>B,"[[1], [2, 3]]","[[('A', 1), ('B', 1)], [('A', 2), ('B', 2), ('A', 3), ('B', 3)]]","A1,B1,A2,B2,A3,B3"
51,A=B|A=B|A>B,"[[1, 2], [3]]","[[('A', 1), ('B', 1), ('A', 2), ('B', 2)], [('A', 3), ('B', 3)]]","A1,B1,A2,B2,A3,B3"
52,A=B|A=B|A>B,"[[1, 2, 3]]","[[('A', 1), ('B', 1), ('A', 2), ('B', 2), ('A', 3), ('B', 3)]]","A1,B1,A2,B2,A3,B3"
53,A=B|A=B|A=B,"[[1], [2], [3]]","[[('A', 1), ('B', 1)], [('A', 2), ('B', 2)], [('A', 3), ('B', 3)]]","A1,B1,A2,B2,A3,B3"
54,A=B|A=B|A=B,"[[1], [2, 3]]","[[('A', 1), ('B', 1)], [('A', 2), ('B', 2), ('A', 3), ('B', 3)]]","A1,B1,A2,B2,A3,B3"
55,A=B|A=B|A=B,"[[1, 2], [3]]","[[('A', 1), ('B', 1), ('A', 2), ('B', 2)], [('A', 3), ('B', 3)]]","A1,B1,A2,B2,A3,B3"
56,A=B|A=B|A=B,"[[1, 2, 3]]","[[('A', 1), ('B', 1), ('A', 2), ('B', 2), ('A', 3), ('B', 3)]]","A1,B1,A2,B2,A3,B3"
