parameter,violation_total,violation_type_a,violation_type_b,avg_utility
0,122,52,67,22528.951333333338
2,145,12,129,22610.407666666655
4,140,2,134,22311.450000000008
6,51,0,51,22066.079333333302
8,2,0,2,21794.522
10,0,0,0,21520.72100000002
