parameter,violation_total,violation_type_a,violation_type_b,avg_utility
1,0,0,0,2772.2309999999975
5,0,0,0,10766.796333333346
10,59,6,50,21803.97799999999
15,173,10,159,32240.41633333329
20,173,10,159,42323.09333333334
