parameter,violation_total,violation_type_a,violation_type_b,avg_utility
0,750,86,643,607111.6375
1,780,63,701,608300.944
2,708,5,677,618656.878
3,772,49,714,616398.0045
4,644,0,629,622656.3125
5,332,0,332,618751.832
6,19,0,19,622617.734
8,8,0,8,621288.005
10,0,0,0,620493.7845
