truth_type_p1,truth_type_p2,player,EU_truth,max_regret,best_dev_type
71,67,2,5050.855,0.0,-1
84,99,1,97.565,0.0,-1
84,99,2,550.855,0.0,-1
15,29,1,48456.365,0.0,-1
15,29,2,550.855,0.0,-1
53,72,1,5256.365,0.0,-1
53,72,2,99.505,0.0,-1
65,93,1,531.365,0.0,-1
65,93,2,96.085,0.0,-1
47,104,1,4846.675,0.0,-1
47,104,2,1.415,0.0,-1
92,72,1,9.815,0.0,-1
92,72,2,99.505,0.0,-1
97,16,1,99.365,0.0,-1
97,16,2,549.505,0.0,-1
31,2,1,4851.365,0.0,-1
31,2,2,5049.505,0.0,-1
83,88,1,525.695,0.0,-1
83,88,2,99.505,0.0,-1
72,39,1,97.565,0.0,-1
72,39,2,50460.355,0.0,-1
67,17,1,4851.365,0.0,-1
67,17,2,5460.355,0.0,-1
79,9,1,5256.365,0.0,-1
79,9,2,546.085,0.0,-1
39,55,1,48456.365,0.0,-1
39,55,2,50460.355,0.0,-1
9,48,1,525.695,0.0,-1
9,48,2,549.505,0.0,-1
83,25,1,525.695,0.0,-1
83,25,2,550.855,0.0,-1
2,14,1,4849.565,0.0,-1
2,14,2,5049.505,0.0,-1
14,16,1,4849.565,0.0,-1
14,16,2,549.505,0.0,-1
60,54,1,57.065,0.0,-1
60,54,2,5049.505,0.0,-1
107,80,1,53.195,0.0,-1
107,80,2,10.0,0.0,-1
101,39,1,99.365,0.0,-1
101,39,2,50460.355,0.0,-1
94,92,1,53.015,0.0,-1
94,92,2,10.0,0.0,-1
0,18,1,529.565,0.0,-1
0,18,2,5049.505,0.0,-1
92,89,1,9.815,0.0,-1
92,89,2,960.355,0.0,-1
74,94,1,529.565,0.0,-1
74,94,2,55.0,0.0,-1
50,58,1,4849.565,0.0,-1
50,58,2,505.0,0.0,-1
37,0,1,5256.365,0.0,-1
37,0,2,549.505,0.0,-1
49,36,1,5256.365,0.0,-1
49,36,2,549.505,0.0,-1
106,80,1,5.765,0.0,-1
106,80,2,10.0,0.0,-1
9,59,1,525.695,0.0,-1
9,59,2,5046.085,0.0,-1
28,106,1,57.065,0.0,-1
28,106,2,5.905,0.0,-1
86,10,1,529.565,0.0,-1
86,10,2,505.0,0.0,-1
33,68,1,53.195,0.0,-1
33,68,2,5.905,0.0,-1
36,21,1,529.565,0.0,-1
36,21,2,546.085,0.0,-1
21,66,1,525.695,0.0,-1
21,66,2,508.555,0.0,-1
82,40,1,53.015,0.0,-1
82,40,2,549.505,0.0,-1
67,103,1,4851.365,0.0,-1
67,103,2,550.855,0.0,-1
13,90,1,5256.365,0.0,-1
13,90,2,549.505,0.0,-1
12,22,1,529.565,0.0,-1
12,22,2,505.0,0.0,-1
48,59,1,529.565,0.0,-1
48,59,2,5046.085,0.0,-1
77,6,1,936.365,0.0,-1
77,6,2,5049.505,0.0,-1
74,24,1,529.565,0.0,-1
74,24,2,58.555,0.0,-1
16,58,1,529.565,0.0,-1
16,58,2,505.0,0.0,-1
45,78,1,525.695,0.0,-1
45,78,2,549.505,0.0,-1
83,67,1,525.695,0.0,-1
83,67,2,5050.855,0.0,-1
44,17,1,53.015,0.0,-1
44,17,2,5460.355,0.0,-1
107,20,1,53.195,0.0,-1
107,20,2,55.0,0.0,-1
18,100,1,4849.565,0.0,-1
18,100,2,13.555,0.09999999999999964,40
83,5,1,525.695,0.0,-1
83,5,2,5460.355,0.0,-1
50,51,1,4849.565,0.0,-1
50,51,2,50460.355,0.0,-1
81,104,1,94.675,0.0,-1
81,104,2,1.415,0.0,-1
30,89,1,489.065,0.0,-1
30,89,2,960.355,0.0,-1
91,54,1,5256.365,0.0,-1
91,54,2,5049.505,0.0,-1
83,1,1,525.695,0.0,-1
83,1,2,5460.355,0.0,-1
89,15,1,936.365,0.0,-1
89,15,2,50460.355,0.0,-1
43,68,1,48456.365,0.0,-1
43,68,2,5.905,0.0,-1
67,54,1,4851.365,0.0,-1
67,54,2,5049.505,0.0,-1
13,97,1,5256.365,0.0,-1
13,97,2,100.855,0.0,-1
90,49,1,529.565,0.0,-1
90,49,2,5460.355,0.0,-1
58,42,1,485.015,0.0,-1
58,42,2,5049.505,0.0,-1
48,10,1,529.565,0.0,-1
48,10,2,505.0,0.0,-1
87,35,1,5256.365,0.0,-1
87,35,2,505.135,0.0,-1
36,78,1,529.565,0.0,-1
36,78,2,549.505,0.0,-1
44,4,1,53.015,0.0,-1
44,4,2,549.505,0.0,-1
27,96,1,4852.345,0.0,-1
27,96,2,13.655,0.0,-1
28,78,1,57.065,0.0,-1
28,78,2,549.505,0.0,-1
28,35,1,57.065,0.0,-1
28,35,2,505.135,0.0,-1
5,0,1,5256.365,0.0,-1
5,0,2,549.505,0.0,-1
92,103,1,9.815,0.0,-1
92,103,2,550.855,0.0,-1
99,66,1,531.365,0.0,-1
99,66,2,508.555,0.0,-1
39,48,1,48456.365,0.0,-1
39,48,2,549.505,0.0,-1
72,31,1,97.565,0.0,-1
72,31,2,5050.855,0.0,-1
10,51,1,485.015,0.0,-1
10,51,2,50460.355,0.0,-1
13,67,1,5256.365,0.0,-1
13,67,2,5050.855,0.0,-1
102,104,1,57.145,0.0,-1
102,104,2,1.415,0.0,-1
19,81,1,48456.365,0.0,-1
19,81,2,96.085,0.0,-1
22,74,1,485.015,0.0,-1
22,74,2,549.505,0.0,-1
5,93,1,5256.365,0.0,-1
5,93,2,96.085,0.0,-1
12,18,1,529.565,0.0,-1
12,18,2,5049.505,0.0,-1
106,9,1,5.765,0.0,-1
106,9,2,546.085,0.0,-1
82,1,1,53.015,0.0,-1
82,1,2,5460.355,0.0,-1
103,74,1,531.365,0.0,-1
103,74,2,549.505,0.0,-1
59,38,1,4845.695,0.0,-1
59,38,2,5049.505,0.0,-1
106,107,1,5.765,0.0,-1
106,107,2,55.135,0.0,-1
79,62,1,5256.365,0.0,-1
79,62,2,508.555,0.0,-1
41,87,1,5256.365,0.0,-1
41,87,2,5460.355,0.0,-1
79,17,1,5256.365,0.0,-1
79,17,2,5460.355,0.0,-1
35,78,1,485.195,0.0,-1
35,78,2,549.505,0.0,-1
32,69,1,5.765,0.0,-1
32,69,2,55.135,0.0,-1
103,8,1,531.365,0.0,-1
103,8,2,55.0,0.0,-1
89,51,1,936.365,0.0,-1
89,51,2,50460.355,0.0,-1
63,67,1,4851.365,0.0,-1
63,67,2,5050.855,0.0,-1
87,101,1,5256.365,0.0,-1
87,101,2,100.855,0.0,-1
41,81,1,5256.365,0.0,-1
41,81,2,96.085,0.0,-1
68,38,1,5.765,0.0,-1
68,38,2,5049.505,0.0,-1
74,79,1,529.565,0.0,-1
74,79,2,5460.355,0.0,-1
100,17,1,13.865,0.049999999999998934,40
100,17,2,5460.355,0.0,-1
97,29,1,99.365,0.0,-1
97,29,2,550.855,0.0,-1
106,24,1,5.765,0.0,-1
106,24,2,58.555,0.0,-1
54,23,1,4849.565,0.0,-1
54,23,2,5046.085,0.0,-1
12,53,1,529.565,0.0,-1
12,53,2,5460.355,0.0,-1
49,21,1,5256.365,0.0,-1
49,21,2,546.085,0.0,-1
17,53,1,5256.365,0.0,-1
17,53,2,5460.355,0.0,-1
73,85,1,936.365,0.0,-1
73,85,2,960.355,0.0,-1
89,6,1,936.365,0.0,-1
89,6,2,5049.505,0.0,-1
95,64,1,525.695,0.0,-1
95,64,2,58.555,0.0,-1
50,93,1,4849.565,0.0,-1
50,93,2,96.085,0.0,-1
28,95,1,57.065,0.0,-1
28,95,2,546.085,0.0,-1
36,93,1,529.565,0.0,-1
36,93,2,96.085,0.0,-1
2,49,1,4849.565,0.0,-1
2,49,2,5460.355,0.0,-1
41,12,1,5256.365,0.0,-1
41,12,2,549.505,0.0,-1
17,83,1,5256.365,0.0,-1
17,83,2,546.085,0.0,-1
107,0,1,53.195,0.0,-1
107,0,2,549.505,0.0,-1
33,48,1,53.195,0.0,-1
33,48,2,549.505,0.0,-1
56,47,1,53.015,0.0,-1
56,47,2,5046.085,0.0,-1
25,93,1,531.365,0.0,-1
25,93,2,96.085,0.0,-1
50,48,1,4849.565,0.0,-1
50,48,2,549.505,0.0,-1
64,69,1,57.065,0.0,-1
64,69,2,55.135,0.0,-1
9,46,1,525.695,0.0,-1
9,46,2,505.0,0.0,-1
15,28,1,48456.365,0.0,-1
15,28,2,58.555,0.0,-1
22,21,1,485.015,0.0,-1
22,21,2,546.085,0.0,-1
105,90,1,9.995,0.0,-1
105,90,2,549.505,0.0,-1
33,20,1,53.195,0.0,-1
33,20,2,55.0,0.0,-1
6,93,1,4849.565,0.0,-1
6,93,2,96.085,0.0,-1
87,6,1,5256.365,0.0,-1
87,6,2,5049.505,0.0,-1
96,22,1,13.915,0.0,-1
96,22,2,505.04,0.0,-1
81,4,1,93.695,0.0,-1
81,4,2,549.505,0.0,-1
91,37,1,5256.365,0.0,-1
91,37,2,5460.355,0.0,-1
103,26,1,531.365,0.0,-1
103,26,2,508.555,0.0,-1
11,24,1,4845.695,0.0,-1
11,24,2,58.555,0.0,-1
4,5,1,529.565,0.0,-1
4,5,2,5460.355,0.0,-1
18,94,1,4849.565,0.0,-1
18,94,2,55.0,0.0,-1
96,35,1,13.915,0.0,-1
96,35,2,505.175,0.0,-1
28,64,1,57.065,0.0,-1
28,64,2,58.555,0.0,-1
91,106,1,5256.365,0.0,-1
91,106,2,5.905,0.0,-1
87,40,1,5256.365,0.0,-1
87,40,2,549.505,0.0,-1
18,17,1,4849.565,0.0,-1
18,17,2,5460.355,0.0,-1
59,37,1,4845.695,0.0,-1
59,37,2,5460.355,0.0,-1
13,95,1,5256.365,0.0,-1
13,95,2,546.085,0.0,-1
56,16,1,53.015,0.0,-1
56,16,2,549.505,0.0,-1
17,65,1,5256.365,0.0,-1
17,65,2,550.855,0.0,-1
5,56,1,5256.365,0.0,-1
5,56,2,55.0,0.0,-1
91,92,1,5256.365,0.0,-1
91,92,2,10.0,0.0,-1
3,30,1,48456.365,0.0,-1
3,30,2,508.555,0.0,-1
29,56,1,531.365,0.0,-1
29,56,2,55.0,0.0,-1
28,6,1,57.065,0.0,-1
28,6,2,5049.505,0.0,-1
18,85,1,4849.565,0.0,-1
18,85,2,960.355,0.0,-1
72,75,1,97.565,0.0,-1
72,75,2,5460.355,0.0,-1
31,102,1,4851.365,0.0,-1
31,102,2,58.555,0.0,-1
9,28,1,525.695,0.0,-1
9,28,2,58.555,0.0,-1
103,6,1,531.365,0.0,-1
103,6,2,5049.505,0.0,-1
3,49,1,48456.365,0.0,-1
3,49,2,5460.355,0.0,-1
82,60,1,53.015,0.0,-1
82,60,2,58.555,0.0,-1
64,61,1,57.065,0.0,-1
64,61,2,550.855,0.0,-1
94,15,1,53.015,0.0,-1
94,15,2,50460.355,0.0,-1
15,42,1,48456.365,0.0,-1
15,42,2,5049.505,0.0,-1
39,46,1,48456.365,0.0,-1
39,46,2,505.0,0.0,-1
10,66,1,485.015,0.0,-1
10,66,2,508.555,0.0,-1
33,54,1,53.195,0.0,-1
33,54,2,5049.505,0.0,-1
10,99,1,485.015,0.0,-1
10,99,2,550.855,0.0,-1
98,15,1,57.065,0.0,-1
98,15,2,50460.355,0.0,-1
45,72,1,525.695,0.0,-1
45,72,2,99.505,0.0,-1
53,15,1,5256.365,0.0,-1
53,15,2,50460.355,0.0,-1
66,16,1,489.065,0.0,-1
66,16,2,549.505,0.0,-1
27,38,1,4851.365,0.0,-1
27,38,2,5049.505,0.0,-1
76,43,1,97.565,0.0,-1
76,43,2,50460.355,0.0,-1
70,93,1,48.965,0.0,-1
70,93,2,96.085,0.0,-1
5,105,1,5256.365,0.0,-1
5,105,2,10.135,0.0,-1
90,52,1,529.565,0.0,-1
90,52,2,549.505,0.0,-1
15,33,1,48456.365,0.0,-1
15,33,2,55.135,0.0,-1
30,26,1,489.065,0.0,-1
30,26,2,508.555,0.0,-1
39,50,1,48456.365,0.0,-1
39,50,2,5049.505,0.0,-1
