truth_type_p1,truth_type_p2,player,EU_truth,max_regret,best_dev_type
21,66,1,519.09,0.0,-1
21,66,2,509.755,0.0,-1
82,40,1,52.35,0.0,-1
82,40,2,557.455,0.0,-1
67,103,1,4754.13,0.0,-1
67,103,2,558.805,0.0,-1
13,90,1,5190.63,0.0,-1
13,90,2,557.455,0.0,-1
12,22,1,523.23,0.0,-1
12,22,2,505.795,0.0,-1
48,59,1,523.23,0.0,-1
48,59,2,5053.63,0.0,-1
77,6,1,960.63,0.0,-1
77,6,2,5057.455,0.0,-1
74,24,1,523.23,0.0,-1
74,24,2,59.755,0.0,-1
16,58,1,523.23,0.0,-1
16,58,2,505.795,0.0,-1
45,78,1,519.09,0.0,-1
45,78,2,557.455,0.0,-1
83,67,1,519.09,0.0,-1
83,67,2,5058.805,0.0,-1
44,17,1,52.35,0.0,-1
44,17,2,5535.805,0.0,-1
107,20,1,52.44,0.0,-1
107,20,2,55.795,0.0,-1
18,100,1,4753.23,0.0,-1
18,100,2,14.755,0.0,-1
83,5,1,519.09,0.0,-1
83,5,2,5535.805,0.0,-1
50,51,1,4753.23,0.0,-1
50,51,2,50535.805,0.0,-1
81,104,1,96.585,0.0,-1
81,104,2,1.525,0.0,-1
30,89,1,479.58,0.0,-1
30,89,2,1035.805,0.0,-1
91,54,1,5190.63,0.0,-1
91,54,2,5057.455,0.0,-1
83,1,1,519.09,0.0,-1
83,1,2,5535.805,0.0,-1
89,15,1,960.63,0.0,-1
89,15,2,50535.805,0.0,-1
43,68,1,47490.63,0.0,-1
43,68,2,6.025,0.0,-1
67,54,1,4754.13,0.0,-1
67,54,2,5057.455,0.0,-1
13,97,1,5190.63,0.0,-1
13,97,2,108.805,0.0,-1
90,49,1,523.23,0.0,-1
90,49,2,5535.805,0.0,-1
58,42,1,475.35,0.0,-1
58,42,2,5057.455,0.0,-1
48,10,1,523.23,0.0,-1
48,10,2,505.795,0.0,-1
87,35,1,5190.63,0.0,-1
87,35,2,505.93,0.0,-1
36,78,1,523.23,0.0,-1
36,78,2,557.455,0.0,-1
44,4,1,52.35,0.0,-1
44,4,2,557.455,0.0,-1
27,96,1,4754.625,0.0,-1
27,96,2,14.755,0.0,-1
28,78,1,56.58,0.0,-1
28,78,2,557.455,0.0,-1
28,35,1,56.58,0.0,-1
28,35,2,505.93,0.0,-1
5,0,1,5190.63,0.0,-1
5,0,2,557.455,0.0,-1
92,103,1,10.05,0.0,-1
92,103,2,558.805,0.0,-1
99,66,1,524.13,0.0,-1
99,66,2,509.755,0.0,-1
39,48,1,47490.63,0.0,-1
39,48,2,557.455,0.0,-1
72,31,1,100.23,0.0,-1
72,31,2,5058.805,0.0,-1
10,51,1,475.35,0.0,-1
10,51,2,50535.805,0.0,-1
13,67,1,5190.63,0.0,-1
13,67,2,5058.805,0.0,-1
102,104,1,56.625,0.0,-1
102,104,2,1.525,0.0,-1
19,81,1,47490.63,0.0,-1
19,81,2,103.63,0.0,-1
22,74,1,475.35,0.0,-1
22,74,2,557.455,0.0,-1
5,93,1,5190.63,0.0,-1
5,93,2,103.63,0.0,-1
12,18,1,523.23,0.0,-1
12,18,2,5057.455,0.0,-1
106,9,1,5.685,0.0,-1
106,9,2,553.63,0.0,-1
82,1,1,52.35,0.0,-1
82,1,2,5535.805,0.0,-1
103,74,1,524.13,0.0,-1
103,74,2,557.455,0.0,-1
59,38,1,4749.09,0.0,-1
59,38,2,5057.455,0.0,-1
106,107,1,5.685,0.0,-1
106,107,2,55.93,0.0,-1
79,62,1,5190.63,0.0,-1
79,62,2,509.755,0.0,-1
41,87,1,5190.63,0.0,-1
41,87,2,5535.805,0.0,-1
79,17,1,5190.63,0.0,-1
79,17,2,5535.805,0.0,-1
35,78,1,475.44,0.0,-1
35,78,2,557.455,0.0,-1
32,69,1,5.685,0.0,-1
32,69,2,55.93,0.0,-1
103,8,1,524.13,0.0,-1
103,8,2,55.795,0.0,-1
89,51,1,960.63,0.0,-1
89,51,2,50535.805,0.0,-1
63,67,1,4754.13,0.0,-1
63,67,2,5058.805,0.0,-1
87,101,1,5190.63,0.0,-1
87,101,2,108.805,0.0,-1
41,81,1,5190.63,0.0,-1
41,81,2,103.63,0.0,-1
68,38,1,5.685,0.0,-1
68,38,2,5057.455,0.0,-1
74,79,1,523.23,0.0,-1
74,79,2,5535.805,0.0,-1
100,17,1,14.28,0.05000000000000071,40
100,17,2,5535.805,0.0,-1
97,29,1,101.13,0.0,-1
97,29,2,558.805,0.0,-1
106,24,1,5.685,0.0,-1
