truth_type_p1,truth_type_p2,player,EU_truth,max_regret,best_dev_type
30,89,2,1012.97,0.0,-1
91,54,1,5277.82,0.0,-1
91,54,2,4731.32,0.0,-1
83,1,1,527.8,0.0,-1
83,1,2,5197.97,0.0,-1
89,15,1,957.82,0.0,-1
89,15,2,47272.97,0.0,-1
43,68,1,47127.82,0.0,-1
43,68,2,5.69,0.0,-1
67,54,1,4719.82,0.0,-1
67,54,2,4731.32,0.0,-1
13,97,1,5142.82,0.0,-1
13,97,2,108.47,0.0,-1
90,49,1,532.12,0.0,-1
90,49,2,5197.97,0.0,-1
58,42,1,471.73,0.0,-1
58,42,2,4731.32,0.0,-1
48,10,1,518.62,0.0,-1
48,10,2,473.15,0.0,-1
87,35,1,5277.82,0.0,-1
87,35,2,473.465,0.0,-1
36,78,1,518.62,0.0,-1
36,78,2,546.32,0.0,-1
44,4,1,51.88,0.0,-1
44,4,2,523.82,0.0,-1
27,96,1,4719.82,0.0,-1
27,96,2,14.87,0.0,-1
28,78,1,56.47,0.0,-1
28,78,2,546.32,0.0,-1
28,35,1,56.47,0.0,-1
28,35,2,473.465,0.0,-1
5,0,1,5142.82,0.0,-1
5,0,2,523.82,0.0,-1
92,103,1,10.03,0.0,-1
92,103,2,549.47,0.0,-1
99,66,1,534.82,0.0,-1
99,66,2,477.47,0.0,-1
39,48,1,47127.82,0.0,-1
39,48,2,523.82,0.0,-1
72,31,1,100.12,0.0,-1
72,31,2,4734.47,0.0,-1
10,51,1,471.73,0.0,-1
10,51,2,47272.97,0.0,-1
13,67,1,5142.82,0.0,-1
13,67,2,4734.47,0.0,-1
102,104,1,57.82,0.0,-1
102,104,2,1.505,0.0,-1
19,81,1,47127.82,0.0,-1
19,81,2,101.315,0.0,-1
22,74,1,471.73,0.0,-1
22,74,2,546.32,0.0,-1
5,93,1,5142.82,0.0,-1
5,93,2,101.315,0.0,-1
12,18,1,518.62,0.0,-1
12,18,2,4731.32,0.0,-1
106,9,1,5.8,0.0,-1
106,9,2,519.815,0.0,-1
82,1,1,53.23,0.0,-1
82,1,2,5197.97,0.0,-1
103,74,1,534.82,0.0,-1
103,74,2,546.32,0.0,-1
59,38,1,4712.8,0.0,-1
59,38,2,4731.32,0.0,-1
106,107,1,5.8,0.0,-1
106,107,2,54.965,0.0,-1
79,62,1,5277.82,0.0,-1
79,62,2,477.47,0.0,-1
41,87,1,5142.82,0.0,-1
41,87,2,5422.97,0.0,-1
79,17,1,5277.82,0.0,-1
79,17,2,5197.97,0.0,-1
35,78,1,472.0,0.0,-1
35,78,2,546.32,0.0,-1
32,69,1,5.665,0.0,-1
32,69,2,52.715,0.0,-1
103,8,1,534.82,0.0,-1
103,8,2,52.4,0.0,-1
89,51,1,957.82,0.0,-1
89,51,2,47272.97,0.0,-1
63,67,1,4719.82,0.0,-1
63,67,2,4734.47,0.0,-1
87,101,1,5277.82,0.0,-1
87,101,2,108.47,0.0,-1
41,81,1,5142.82,0.0,-1
41,81,2,101.315,0.0,-1
68,38,1,5.665,0.0,-1
68,38,2,4731.32,0.0,-1
74,79,1,532.12,0.0,-1
74,79,2,5422.97,0.0,-1
100,17,1,14.62,0.0,-1
100,17,2,5197.97,0.0,-1
97,29,1,102.82,0.0,-1
97,29,2,526.97,0.0,-1
106,24,1,5.8,0.0,-1
106,24,2,56.72,0.0,-1
54,23,1,4717.12,0.0,-1
54,23,2,4727.315,0.0,-1
12,53,1,518.62,0.0,-1
12,53,2,5197.97,0.0,-1
49,21,1,5142.82,0.0,-1
49,21,2,519.815,0.0,-1
17,53,1,5142.82,0.0,-1
17,53,2,5197.97,0.0,-1
73,85,1,957.82,0.0,-1
73,85,2,1012.97,0.0,-1
89,6,1,957.82,0.0,-1
89,6,2,4731.32,0.0,-1
95,64,1,527.8,0.0,-1
95,64,2,56.72,0.0,-1
50,93,1,4717.12,0.0,-1
50,93,2,101.315,0.0,-1
28,95,1,56.47,0.0,-1
28,95,2,542.315,0.0,-1
36,93,1,518.62,0.0,-1
36,93,2,101.315,0.0,-1
2,49,1,4717.12,0.0,-1
2,49,2,5197.97,0.0,-1
41,12,1,5142.82,0.0,-1
41,12,2,523.82,0.0,-1
17,83,1,5142.82,0.0,-1
17,83,2,542.315,0.0,-1
107,0,1,53.5,0.0,-1
107,0,2,523.82,0.0,-1
33,48,1,52.15,0.0,-1
